CA Bastia;CA Bastia
Sochaux;Sochaux
Orleans;Orleans
Valenciennes;Valenciennes
Bourg Peronnas;Bourg-Peronnas
Paris FC;Paris FC
Red Star;Red Star
Lorient;Lorient
Quevilly Rouen;US Quevilly
Beziers;Beziers
Chambly;Chambly Oise
Rodez;Rodez
Heerenveen;Heerenveen
Heracles;Heracles
Sparta;Sparta Rotterdam
Waalwijk;Waalwijk
Willem II;Willem II
Den Haag;Den Haag
Feyenoord;Feyenoord
Groningen;Groningen
PSV Eindhoven;PSV
AZ Alkmaar;Alkmaar
Nijmegen;Nijmegen
Ajax;Ajax
Roda JC;Roda
NAC Breda;Breda
Twente;Twente
Utrecht;Utrecht
Vitesse;Vitesse
VVV Venlo;Venlo
Roda;Roda
Graafschap;De Graafschap
Excelsior;Excelsiorvvvvv
Zwolle;Zwolle
Cambuur;Cambuur
Go Ahead Eagles;Go Ahead Eagles
Dordrecht;Dordrecht
Sparta Rotterdam;Sparta Rotterdam
For Sittard;Sittard
FC Emmen;Emmen
