"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"113","Torino FC ","Torino FC","45","45","25,0","21","84,48 Mill. €","1,88 Mill. €",2014
"114","Atalanta BC ","Atalanta BC","42","42","25,9","16","79,45 Mill. €","1,89 Mill. €",2014
"115","Chievo Verona ","Chievo Verona","40","40","26,6","23","68,13 Mill. €","1,70 Mill. €",2014
"116","Cagliari Calcio ","Cagliari Calcio","36","36","23,6","15","65,13 Mill. €","1,81 Mill. €",2014
"117","US Palermo  ","US Palermo","40","40","23,9","22","54,00 Mill. €","1,35 Mill. €",2014
"118","Hellas Verona ","Hellas Verona","38","38","25,4","23","45,78 Mill. €","1,20 Mill. €",2014
"119","FC Empoli  ","FC Empoli","40","40","22,8","13","35,63 Mill. €","891 Th. €",2014
"120","AC Cesena  ","AC Cesena","37","37","24,9","10","35,60 Mill. €","962 Th. €",2014
"121","Juventus FC ","Juventus FC","36","36","24,9","21","394,33 Mill. €","10,95 Mill. €",2015
"122","AS Roma ","AS Roma","48","48","23,7","33","319,08 Mill. €","6,65 Mill. €",2015
"123","Inter Milan ","Inter Milan","42","42","24,2","30","297,90 Mill. €","7,09 Mill. €",2015
"124","SSC Napoli ","SSC Napoli","34","34","24,9","22","268,95 Mill. €","7,91 Mill. €",2015
"125","AC Milan ","AC Milan","37","37","25,5","16","233,00 Mill. €","6,30 Mill. €",2015
"126","SS Lazio ","SS Lazio","38","38","24,7","26","172,83 Mill. €","4,55 Mill. €",2015
"127","ACF Fiorentina ","ACF Fiorentina","39","39","25,1","29","172,68 Mill. €","4,43 Mill. €",2015
"128","UC Sampdoria ","UC Sampdoria","43","43","25,0","22","136,25 Mill. €","3,17 Mill. €",2015
"129","Genoa CFC ","Genoa CFC","47","47","23,3","27","124,95 Mill. €","2,66 Mill. €",2015
"130","Udinese Calcio ","Udinese Calcio","43","43","25,3","31","98,65 Mill. €","2,29 Mill. €",2015
"131","Torino FC ","Torino FC","39","39","24,7","17","82,45 Mill. €","2,11 Mill. €",2015
"132","Bologna FC 1909  ","Bologna FC 1909","42","42","24,8","16","81,85 Mill. €","1,95 Mill. €",2015
"133","US Sassuolo ","US Sassuolo","39","39","23,7","5","77,60 Mill. €","1,99 Mill. €",2015
"134","Atalanta BC ","Atalanta BC","44","44","25,8","16","77,43 Mill. €","1,76 Mill. €",2015
"135","Carpi FC 1909  ","Carpi FC 1909","41","41","24,9","17","65,80 Mill. €","1,60 Mill. €",2015
"136","US Palermo ","US Palermo","40","40","23,5","21","62,55 Mill. €","1,56 Mill. €",2015
"137","Hellas Verona ","Hellas Verona","42","42","24,9","20","58,73 Mill. €","1,40 Mill. €",2015
"138","Chievo Verona ","Chievo Verona","40","40","26,6","17","46,38 Mill. €","1,16 Mill. €",2015
"139","Frosinone Calcio  ","Frosinone Calcio","35","35","25,2","10","43,10 Mill. €","1,23 Mill. €",2015
"140","FC Empoli ","FC Empoli","38","38","23,1","16","37,78 Mill. €","994 Th. €",2015
"141","Juventus FC ","Juventus FC","38","38","25,2","19","422,00 Mill. €","11,11 Mill. €",2016
"142","Inter Milan ","Inter Milan","41","41","24,4","29","318,85 Mill. €","7,78 Mill. €",2016
"143","SSC Napoli ","SSC Napoli","37","37","24,7","22","303,90 Mill. €","8,21 Mill. €",2016
"144","AS Roma ","AS Roma","47","47","22,7","25","285,43 Mill. €","6,07 Mill. €",2016
"145","AC Milan ","AC Milan","39","39","24,4","20","223,33 Mill. €","5,73 Mill. €",2016
"146","ACF Fiorentina ","ACF Fiorentina","42","42","23,3","30","192,23 Mill. €","4,58 Mill. €",2016
"147","SS Lazio ","SS Lazio","45","45","22,8","32","171,25 Mill. €","3,81 Mill. €",2016
"148","Torino FC ","Torino FC","49","49","23,2","22","133,40 Mill. €","2,72 Mill. €",2016
"149","Genoa CFC ","Genoa CFC","44","44","24,8","23","107,63 Mill. €","2,45 Mill. €",2016
"150","Udinese Calcio ","Udinese Calcio","44","44","23,5","34","105,33 Mill. €","2,39 Mill. €",2016
"151","US Sassuolo ","US Sassuolo","47","47","23,6","7","92,90 Mill. €","1,98 Mill. €",2016
"152","UC Sampdoria ","UC Sampdoria","41","41","23,6","28","87,55 Mill. €","2,14 Mill. €",2016
"153","Bologna FC 1909 ","Bologna FC 1909","47","47","23,6","21","86,78 Mill. €","1,85 Mill. €",2016
"154","Atalanta BC ","Atalanta BC","44","44","24,5","17","80,23 Mill. €","1,82 Mill. €",2016
"155","Cagliari Calcio  ","Cagliari Calcio","46","46","23,7","17","63,23 Mill. €","1,37 Mill. €",2016
"156","FC Empoli ","FC Empoli","42","42","23,5","17","58,33 Mill. €","1,39 Mill. €",2016
"157","Chievo Verona ","Chievo Verona","44","44","25,3","20","45,90 Mill. €","1,04 Mill. €",2016
"158","Delfino Pescara 1936  ","Delfino Pescara 1936","50","50","23,8","19","44,45 Mill. €","889 Th. €",2016
"159","US Palermo ","US Palermo","39","39","23,4","23","42,78 Mill. €","1,10 Mill. €",2016
"160","FC Crotone  ","FC Crotone","37","37","24,0","12","24,90 Mill. €","673 Th. €",2016
"161","Juventus FC ","Juventus FC","33","33","25,6","17","540,53 Mill. €","16,38 Mill. €",2017
"162","SSC Napoli ","SSC Napoli","40","40","24,2","24","372,63 Mill. €","9,32 Mill. €",2017
