"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Lyon",23.1,13,210.3,7.25,2010
"2","Marseille",25.1,20,179.95,5.29,2010
"3","Bordeaux",23.8,17,146.4,4.18,2010
"4","Paris SG",25.4,13,106.75,3.68,2010
"5","Lille",24.2,16,101.25,3.62,2010
"6","Monaco",23.6,38,94.25,2.48,2010
"7","Rennes",22.7,20,89,2.7,2010
"8","Toulouse",22.9,16,80.68,2.52,2010
"9","St Etienne",23.8,16,71.85,2.25,2010
"10","Nice",24.4,21,64,1.78,2010
"11","Auxerre",23.3,21,62.15,1.55,2010
"12","Nancy",25.2,16,58.7,1.96,2010
"13","Valenciennes",24.1,18,53.53,1.45,2010
"14","Lorient",24.3,12,49.85,1.61,2010
"15","Montpellier",24.2,12,47.98,1.5,2010
"16","Lens",23.7,20,47.98,1.23,2010
"17","Sochaux",23.1,14,44.25,1.48,2010
"18","Arles",26.1,16,28.2,0.762,2010
"19","Brest",24.8,17,24.45,0.789,2010
"20","Caen",23.8,10,24.1,0.803,2010
"21","Lyon",23.1,13,210.3,7.25,2010
"22","Marseille",25.1,20,179.95,5.29,2010
"23","Bordeaux",23.8,17,146.4,4.18,2010
"24","Paris SG",25.4,13,106.75,3.68,2010
"25","Lille",24.2,16,101.25,3.62,2010
"26","Monaco",23.6,38,94.25,2.48,2010
"27","Rennes",22.7,20,89,2.7,2010
"28","Toulouse",22.9,16,80.68,2.52,2010
"29","St Etienne",23.8,16,71.85,2.25,2010
"30","Nice",24.4,21,64,1.78,2010
"31","Auxerre",23.3,21,62.15,1.55,2010
"32","Nancy",25.2,16,58.7,1.96,2010
"33","Valenciennes",24.1,18,53.53,1.45,2010
"34","Lorient",24.3,12,49.85,1.61,2010
"35","Montpellier",24.2,12,47.98,1.5,2010
"36","Lens",23.7,20,47.98,1.23,2010
"37","Sochaux",23.1,14,44.25,1.48,2010
"38","Arles",26.1,16,28.2,0.762,2010
"39","Brest",24.8,17,24.45,0.789,2010
"40","Caen",23.8,10,24.1,0.803,2010
"41","Paris SG",25.5,18,223.1,6.37,2011
"42","Lyon",22.6,19,171,4.38,2011
"43","Marseille",25.1,16,160.8,5.19,2011
"44","Lille",25.4,17,132.95,4.58,2011
"45","Rennes",22.9,24,91.45,2.95,2011
"46","Bordeaux",24.2,17,88.9,2.96,2011
"47","St Etienne",24.4,14,76.75,2.19,2011
"48","Toulouse",22,14,74.25,2.25,2011
"49","Sochaux",22.6,19,56.05,1.65,2011
"50","Nancy",24.4,22,54.45,1.47,2011
"51","Nice",24.1,17,50.8,1.54,2011
"52","Lorient",24.1,18,48.85,1.4,2011
"53","Montpellier",24.7,14,48.7,1.62,2011
"54","Valenciennes",23.6,16,47.25,1.35,2011
"55","Auxerre",23.1,23,46.85,1.14,2011
"56","Brest",25.9,24,40.85,1.24,2011
"57","Evian Thonon Gaillard",26.2,16,34.95,1.09,2011
"58","Ajaccio",25.4,14,27.05,0.845,2011
"59","Caen",24.5,10,26.75,0.955,2011
"60","Dijon",24.1,13,24.3,0.736,2011
"61","Paris SG",26.2,15,332.85,10.09,2012
"62","Lyon",23.8,20,155.9,3.71,2012
"63","Marseille",24.1,21,146.95,4.08,2012
"64","Lille",25.5,12,105.2,3.9,2012
"65","Rennes",23.3,20,98.6,3.08,2012
"66","Montpellier",24.9,14,83.4,2.61,2012
"67","St Etienne",24.2,13,82.9,2.76,2012
"68","Bordeaux",25.1,17,78.78,2.63,2012
"69","Toulouse",23.1,16,73.55,2.63,2012
"70","Lorient",24.9,16,57.5,1.69,2012
"71","Valenciennes",24.8,16,48.15,1.55,2012
"72","Sochaux",23.6,22,48.1,1.46,2012
"73","Nice",22.7,16,41.95,1.17,2012
"74","Evian Thonon Gaillard",26.1,19,39.7,1.24,2012
"75","Ajaccio",26.3,16,38.8,1.25,2012
"76","Brest",24.7,20,37.85,1.08,2012
"77","Nancy",22.7,19,33.3,1.01,2012
"78","Bastia",25.6,10,32.7,1.02,2012
"79","Reims",24.9,15,22.45,0.774,2012
"80","Troyes",25.2,13,19.95,0.665,2012
"81","Paris SG",24,16,370.9,11.59,2013
"82","Monaco",24.3,44,234.2,5.32,2013
"83","Marseille",24.5,17,140.15,4.25,2013
"84","Lyon",23.2,15,112.25,3.12,2013
"85","St Etienne",24.3,10,105.7,3.11,2013
"86","Rennes",23.3,25,101.15,2.59,2013
"87","Lille",24.5,19,75.2,2.43,2013
