"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"88","Bordeaux",24.9,23,63.35,1.81,2013
"89","Toulouse",22.8,24,60.9,1.56,2013
"90","Sochaux",23.3,27,59.7,1.36,2013
"91","Nice",22.2,15,56.8,1.46,2013
"92","Montpellier",24.1,16,56.8,1.83,2013
"93","Lorient",23.2,17,53.7,1.45,2013
"94","Valenciennes",24.9,17,40.45,1.26,2013
"95","Bastia",25.5,12,39.75,1.2,2013
"96","Evian Thonon Gaillard",24.9,21,35.95,1.03,2013
"97","Reims",24.2,19,33.4,0.982,2013
"98","Ajaccio",24.5,21,31.03,0.839,2013
"99","Nantes",24.3,22,28.78,0.872,2013
"100","Guingamp",25.6,14,18.2,0.607,2013
"101","Paris SG",24.3,15,386,12.06,2014
"102","Monaco",23.1,34,194.75,5.73,2014
"103","Marseille",22.3,15,144.55,4.25,2014
"104","Lyon",23.4,14,92.85,3,2014
"105","St Etienne",24.4,11,84.8,2.74,2014
"106","Lille",24.3,18,75.55,2.44,2014
"107","Bordeaux",22.8,23,63.15,1.62,2014
"108","Rennes",24,18,61.5,2.05,2014
"109","Lorient",23.7,19,52.25,1.34,2014
"110","Toulouse",22.8,22,51.55,1.43,2014
"111","Nice",22.4,13,48.9,1.32,2014
"112","Reims",24.8,16,42.25,1.32,2014
"113","Montpellier",24.2,18,41.3,1.15,2014
"114","Evian Thonon Gaillard",26,21,38.15,1.16,2014
"115","Bastia",23.6,17,31.75,0.774,2014
"116","Nantes",24,18,31.2,1.04,2014
"117","Guingamp",25.8,15,29.08,0.938,2014
"118","Metz",24.5,21,21.6,0.675,2014
"119","Caen",26.1,11,19.2,0.711,2014
"120","Lens",23.4,15,13.75,0.474,2014
"121","Paris SG",23.9,20,433.3,12.38,2015
"122","Lyon",24,13,171.45,5.2,2015
"123","Monaco",22.3,39,152.75,3.92,2015
"124","Marseille",22.9,19,143.85,3.79,2015
"125","St Etienne",24.1,14,95.55,2.39,2015
"126","Bordeaux",22.5,24,80.8,1.92,2015
"127","Rennes",23.7,21,79.03,2.08,2015
"128","Lille",24.6,17,65.6,1.93,2015
"129","Nice",22.4,11,49.7,1.42,2015
"130","Lorient",23.7,19,49.35,1.41,2015
"131","Montpellier",24.9,16,46.75,1.46,2015
"132","Reims",24.8,16,45.5,1.3,2015
"133","Toulouse",23.1,18,40.8,1.28,2015
"134","Nantes",23.8,18,37.15,1.16,2015
"135","Guingamp",25.9,10,31.3,1.01,2015
"136","Caen",24.6,13,28.25,0.942,2015
"137","Troyes",25.3,18,26.95,0.728,2015
"138","Bastia",24.8,14,20.85,0.673,2015
"139","Angers",26.3,17,20.6,0.606,2015
"140","Ajaccio GFCO",24.8,11,13.9,0.463,2015
"141","Paris SG",23.5,21,502.05,12.87,2016
"142","Monaco",22.2,47,190.45,4.05,2016
"143","Lyon",22.6,10,179.2,5.27,2016
"144","Marseille",24.7,12,109.4,3.32,2016
"145","St Etienne",23,17,85.4,2.03,2016
"146","Bordeaux",23.6,21,80.55,2.24,2016
"147","Lille",23.7,25,74.38,1.62,2016
"148","Rennes",24.1,21,73.5,1.71,2016
"149","Nice",22.5,14,65.85,1.69,2016
"150","Lorient",24.1,18,49.65,1.21,2016
"151","Toulouse",22.9,20,49.2,1.29,2016
"152","Nantes",23.4,20,40.45,1.35,2016
"153","Montpellier",24.6,16,36.15,1.03,2016
"154","Bastia",24.1,17,35.05,0.947,2016
"155","Caen",25.1,16,34.4,0.956,2016
"156","Angers",25.3,16,34.25,0.951,2016
"157","Guingamp",25.3,12,33.2,0.949,2016
"158","Metz",23.5,21,26.68,0.684,2016
"159","Dijon",25.3,12,21,0.636,2016
"160","Nancy",25.2,13,20.9,0.697,2016
"161","Paris SG",24.1,19,581.1,16.6,2017
"162","Monaco",22.5,38,291.8,7.68,2017
"163","Marseille",25.8,12,162.15,5.59,2017
"164","Nice",22.7,11,135.6,3.48,2017
"165","Lyon",22.1,16,131.25,3.86,2017
"166","St Etienne",23.8,20,102.83,2.57,2017
"167","Bordeaux",23.1,20,97.2,2.63,2017
"168","Toulouse",23.6,14,79.2,2.83,2017
"169","Rennes",23.4,16,56.05,1.6,2017
"170","Nantes",23.7,22,52.2,1.45,2017
"171","Guingamp",25.7,12,45.15,1.51,2017
"172","Angers",25.1,14,44.25,1.34,2017
"173","Lille",21.1,17,43.49,1.36,2017
"174","Metz",23.7,23,43.05,0.978,2017
"175","Caen",24.8,16,38.05,1.15,2017
"176","Montpellier",24.5,12,36.55,1.22,2017
"177","Dijon",24.6,15,35.6,1.02,2017
"178","Amiens",26.4,17,27.4,0.806,2017
"179","Troyes",25.1,11,25.7,0.857,2017
"180","Strasbourg",25.4,14,20.55,0.663,2017
"181","Paris SG",23.9,22,842.4,21.6,2018
"182","Monaco",22.4,57,385.58,6.76,2018
"183","Lyon",22.7,15,357.25,10.51,2018
"184","Marseille",25.1,15,276.4,8.38,2018
"185","Rennes",22.8,15,130.8,3.19,2018
"186","Nice",21.8,11,129.6,3.41,2018
"187","Bordeaux",22.9,21,112.5,2.62,2018
"188","Nantes",23.8,27,108.05,2.7,2018
"189","Lille",22.7,23,97.28,3.04,2018
"190","St Etienne",23.3,14,96.8,2.3,2018
"191","Toulouse",23.1,17,82.15,2.05,2018
"192","Guingamp",24.2,10,67.95,1.84,2018
"193","Montpellier",24.7,14,60.3,1.88,2018
"194","Strasbourg",24.2,13,57.85,1.75,2018
"195","Angers",25.5,14,57.55,1.51,2018
"196","Caen",23.8,17,57.5,1.47,2018
"197","Dijon",24.7,16,55.15,1.72,2018
"198","Amiens",24.4,16,54.8,1.52,2018
"199","Reims",23.5,17,50.5,1.36,2018
"200","Nimes",24,12,38.35,1.24,2018
"201","Paris SG",25.8,18,984,37.85,2019
"202","Lyon",24.3,15,340.35,12.61,2019
"203","Monaco",25.3,31,305.95,9.87,2019
"204","Marseille",25.9,9,226.85,8.73,2019
"205","Lille",24.1,15,179.7,7.81,2019
"206","Nice",23.6,7,128.7,4.95,2019
"207","Bordeaux",25.4,16,127.6,4.56,2019
"208","St Etienne",26.6,10,115.7,4.29,2019
"209","Rennes",24.9,8,112.25,4.49,2019
"210","Strasbourg",25.8,10,93.55,3.6,2019
"211","Nantes",24.7,15,93.05,3,2019
"212","Montpellier",26.5,13,91.3,3.51,2019
"213","Toulouse",23.7,11,79.4,2.74,2019
"214","Amiens",25.7,12,63.75,2.2,2019
"215","Reims",24.4,10,60.85,2.43,2019
"216","Angers",26.7,11,59,2.36,2019
"217","Nimes",24.1,6,52.45,2.19,2019
"218","Dijon",26.4,12,42.85,1.86,2019
"219","Metz",24.6,16,37.05,1.43,2019
"220","Brest",26,6,32.25,1.29,2019
