"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"154","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","29","29","24,2","12","9,15 Mill. €","316 Th. €",2016
"155","Nîmes Olympique ","Nîmes Olympique","30","30","23,1","10","8,30 Mill. €","277 Th. €",2016
"156","AC Ajaccio ","AC Ajaccio","28","28","23,9","8","7,90 Mill. €","282 Th. €",2016
"157","US Orléans  ","US Orléans","27","27","27,5","11","7,90 Mill. €","293 Th. €",2016
"158","FC Chamois Niort ","FC Chamois Niort","29","29","23,8","9","6,80 Mill. €","234 Th. €",2016
"159","SC Amiens  ","SC Amiens","29","29","25,4","12","6,35 Mill. €","219 Th. €",2016
"160","Bourg-en-Bresse Péronnas 01 ","Bourg-en-Bresse Péronnas 01","26","26","26,3","4","5,30 Mill. €","204 Th. €",2016
"161","FC Lorient  ","FC Lorient","31","31","24,5","13","29,05 Mill. €","937 Th. €",2017
"162","RC Lens ","RC Lens","40","40","23,8","22","26,08 Mill. €","652 Th. €",2017
"163","AS Nancy-Lorraine  ","AS Nancy-Lorraine","35","35","24,7","12","21,35 Mill. €","610 Th. €",2017
"164","AJ Auxerre ","AJ Auxerre","37","37","22,8","15","18,35 Mill. €","496 Th. €",2017
"165","Stade Brest 29 ","Stade Brest 29","29","29","24,4","6","17,75 Mill. €","612 Th. €",2017
"166","Tours FC ","Tours FC","47","47","23,1","19","17,08 Mill. €","363 Th. €",2017
"167","Stade Reims ","Stade Reims","33","33","23,0","10","17,05 Mill. €","517 Th. €",2017
"168","AC Le Havre ","AC Le Havre","37","37","22,7","15","15,18 Mill. €","410 Th. €",2017
"169","Nîmes Olympique ","Nîmes Olympique","29","29","22,7","10","14,85 Mill. €","512 Th. €",2017
"170","Valenciennes FC  ","Valenciennes FC ","34","34","25,3","16","13,08 Mill. €","385 Th. €",2017
"171","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","30","30","22,9","12","12,18 Mill. €","406 Th. €",2017
"172","Bourg-en-Bresse Péronnas 01 ","Bourg-en-Bresse Péronnas 01","32","32","26,1","6","11,38 Mill. €","355 Th. €",2017
"173","GFC Ajaccio ","GFC Ajaccio","36","36","24,0","14","10,95 Mill. €","313 Th. €",2017
"174","AC Ajaccio ","AC Ajaccio","30","30","24,8","11","10,65 Mill. €","355 Th. €",2017
"175","FC Chamois Niort ","FC Chamois Niort","33","33","23,5","10","10,25 Mill. €","311 Th. €",2017
