"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Betis",24.6,8,45.5,1.34,2010
"2","Valladolid",24.7,7,39.35,1.09,2010
"3","Tenerife",25,9,37.8,1.18,2010
"4","Numancia",25.9,4,20.8,0.717,2010
"5","Xerez",27.2,3,20.45,0.73,2010
"6","Cartagena",25.7,6,19.95,0.623,2010
"7","Elche",25.6,6,19.9,0.686,2010
"8","Vallecano",24.7,6,19.85,0.64,2010
"9","Celta",24.1,4,17.3,0.577,2010
"10","Cordoba",25.5,3,16.1,0.555,2010
"11","Gimnastic",25.5,4,15.6,0.459,2010
"12","Recreativo",24.9,4,14.9,0.466,2010
"13","Villarreal B",20.5,2,14.45,0.371,2010
"14","Albacete",25.1,1,14.4,0.369,2010
"15","Las Palmas",25.3,8,13.45,0.42,2010
"16","Girona",26.7,4,12.9,0.496,2010
"17","Granada",24.9,8,12.08,0.416,2010
"18","Salamanca",24.7,3,11.9,0.441,2010
"19","Huesca",26.6,3,11.1,0.383,2010
"20","Ponferradina",27.1,3,9.1,0.303,2010
"21","Barcelona B",19.7,5,4.8,0.133,2010
"22","Alcorcon",28,3,2.2,0.96,2010
"23","Betis",24.6,8,45.5,1.34,2010
"24","Valladolid",24.7,7,39.35,1.09,2010
"25","Tenerife",25,9,37.8,1.18,2010
"26","Numancia",25.9,4,20.8,0.717,2010
"27","Xerez",27.2,3,20.45,0.73,2010
"28","Cartagena",25.7,6,19.95,0.623,2010
"29","Elche",25.6,6,19.9,0.686,2010
"30","Vallecano",24.7,6,19.85,0.64,2010
"31","Celta",24.1,4,17.3,0.577,2010
"32","Cordoba",25.5,3,16.1,0.555,2010
"33","Gimnastic",25.5,4,15.6,0.459,2010
"34","Recreativo",24.9,4,14.9,0.466,2010
"35","Villarreal B",20.5,2,14.45,0.371,2010
"36","Albacete",25.1,1,14.4,0.369,2010
"37","Las Palmas",25.3,8,13.45,0.42,2010
"38","Girona",26.7,4,12.9,0.496,2010
"39","Granada",24.9,8,12.08,0.416,2010
"40","Salamanca",24.7,3,11.9,0.441,2010
"41","Huesca",26.6,3,11.1,0.383,2010
"42","Ponferradina",27.1,3,9.1,0.303,2010
"43","Barcelona B",19.7,5,4.8,0.133,2010
"44","Alcorcon",28,3,2.2,0.96,2010
"45","La Coruna",27.4,11,45.7,1.76,2011
"46","Almeria",25,9,31,1.07,2011
"47","Valladolid",25.3,6,25.9,0.809,2011
"48","Hercules",25.2,4,23.7,0.878,2011
"49","Barcelona B",20,6,22.9,0.818,2011
"50","Cartagena",27,5,21.65,0.802,2011
"51","Elche",25.8,4,21.5,0.717,2011
"52","Celta",24.9,4,19.2,0.8,2011
"53","Girona",25.6,7,18.8,0.588,2011
"54","Cordoba",24.7,7,17.6,0.533,2011
"55","Xerez",26.7,10,17.3,0.541,2011
"56","Gimnastic",24.8,5,15.68,0.475,2011
"57","Numancia",25.3,6,15.1,0.539,2011
"58","Villarreal B",20.7,11,14.73,0.359,2011
"59","Las Palmas",24.5,7,14.2,0.49,2011
"60","Huesca",28.1,10,12.35,0.374,2011
"61","Recreativo",24.7,4,11.6,0.352,2011
"62","Alcorcon",28,3,10.4,0.433,2011
"63","Murcia",25.7,5,7.2,0.267,2011
"64","Sabadell",26,6,7.03,0.22,2011
"65","CD Alcoyano",26,4,1.4,0.48,2011
"66","Guadalajara",26.1,4,NA,0.25,2011
"67","Villarreal",25.4,1,60.25,1.77,2012
"68","Sp Gijon",25.5,9,37.2,1.13,2012
"69","Almeria",26,8,24.13,0.894,2012
"70","Hercules",24.5,9,24.1,0.618,2012
"71","Santander",24.6,7,20.2,0.612,2012
"72","Barcelona B",19.5,11,19.2,0.662,2012
"73","Xerez",25.8,8,18.6,0.477,2012
"74","Murcia",24.9,9,18.2,0.628,2012
"75","Elche",26.7,5,17.3,0.665,2012
"76","Cordoba",24.7,7,16.78,0.524,2012
"77","Las Palmas",25.2,8,16.75,0.558,2012
"78","Numancia",25.9,5,13.2,0.455,2012
"79","Sabadell",26.6,6,12.9,0.403,2012
"80","Girona",27.2,3,12.9,0.478,2012
"81","Recreativo",25.1,4,11.78,0.336,2012
"82","Alcorcon",26.8,4,11.3,0.435,2012
"83","Real Madrid B",20.5,5,10.2,0.34,2012
"84","Huesca",26.5,10,9.2,0.317,2012
"85","Mirandes",28.5,12,9.2,0.329,2012
"86","Ponferradina",26.4,4,8,0.286,2012
"87","Lugo",26.7,5,7.5,0.278,2012
"88","Guadalajara",26,3,4.7,0.196,2012
"89","Mallorca",25,14,40.55,1.04,2013
"90","La Coruna",24.9,13,29.8,0.828,2013
"91","Zaragoza",24.4,6,28.15,0.88,2013
"92","Las Palmas",26,6,22.35,0.698,2013
"93","Real Madrid B",20.4,9,20.6,0.572,2013
"94","Sp Gijon",24.3,6,20,0.625,2013
"95","Barcelona B",19.3,9,18.1,0.532,2013
"96","Hercules",24.6,9,15.1,0.458,2013
"97","Cordoba",24.2,8,14.95,0.393,2013
"98","Recreativo",24.6,9,14.18,0.383,2013
"99","Alcorcon",26.1,6,13.05,0.395,2013
"100","Girona",25.5,3,12.8,0.4,2013
"101","Alaves",26.7,5,12.6,0.42,2013
"102","Ponferradina",25.7,3,11,0.379,2013
"103","Numancia",24.8,4,10.8,0.386,2013
"104","Murcia",25.3,6,9.2,0.368,2013
"105","Sabadell",27,4,8.95,0.28,2013
"106","Mirandes",27.6,10,8.4,0.311,2013
"107","Lugo",26.9,10,6.9,0.265,2013
"108","Tenerife",25.8,12,4.6,0.144,2013
"109","Eibar",25.7,3,3,0.115,2013
"110","Real Jaén CF",26.2,4,1.7,0.49,2013
"111","Betis",24.3,7,44.9,1.36,2014
"112","Valladolid",25.6,9,36.3,1.1,2014
"113","Osasuna",23.8,11,24.1,0.709,2014
"114","Mallorca",24,1,23.6,0.638,2014
"115","Barcelona B",18.9,15,20.65,0.626,2014
"116","Las Palmas",26,4,17.2,0.555,2014
"117","Zaragoza",23.2,8,16.4,0.469,2014
"118","Tenerife",24.6,8,14.1,0.427,2014
"119","Sp Gijon",23.2,4,12.8,0.474,2014
"120","Numancia",26.1,8,11.9,0.41,2014
"121","Alcorcon",25.9,6,11.4,0.38,2014
"122","Lugo",25.8,3,11.35,0.355,2014
"123","Ponferradina",26.1,8,10.1,0.374,2014
"124","Alaves",27.4,3,8.5,0.34,2014
