"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"125","Recreativo",24.1,5,8.15,0.247,2014
"126","Sabadell",25.7,4,7.8,0.244,2014
"127","Girona",24.9,3,7.8,0.279,2014
"128","Leganes",25.2,4,7.1,0.237,2014
"129","Mirandes",25.7,10,4.1,0.158,2014
"130","Santander",24.8,4,3.1,0.107,2014
"131","Llagostera",26.5,10,2.8,0.104,2014
"132","Albacete",25.1,3,2.45,0.82,2014
"133","Valladolid",24.6,2,30.2,0.774,2015
"134","Almeria",24.8,13,26.15,0.726,2015
"135","Zaragoza",25.1,11,21.15,0.604,2015
"136","Mallorca",24.1,16,19.33,0.522,2015
"137","Leganes",25.3,4,17,0.654,2015
"138","Cordoba",25.5,8,16.9,0.604,2015
"139","Elche",23.7,6,15.3,0.51,2015
"140","Ponferradina",26.9,11,14.2,0.526,2015
"141","Osasuna",23.9,7,13.8,0.445,2015
"142","Alaves",27.3,4,12.6,0.485,2015
"143","Llagostera",26.8,4,12.25,0.371,2015
"144","Girona",24.2,5,12.2,0.436,2015
"145","Lugo",27.6,10,11.9,0.441,2015
"146","Alcorcon",25.4,7,10.95,0.378,2015
"147","Numancia",26.4,5,10.55,0.352,2015
"148","Albacete",25.2,4,9.75,0.287,2015
"149","Tenerife",24.4,5,8.7,0.311,2015
"150","Huesca",26.6,6,8.5,0.274,2015
"151","Oviedo",25.8,4,8.13,0.239,2015
"152","Gimnastic",25.2,11,7.1,0.192,2015
"153","Mirandes",25.9,3,6.5,0.26,2015
"154","Ath Bilbao",20.2,10,3.3,0.103,2015
"155","Vallecano",26.4,13,34.95,1.03,2016
"156","Getafe",27.3,16,30.6,0.956,2016
"157","Levante",24.8,6,28.9,0.997,2016
"158","Almeria",25.4,11,21.4,0.522,2016
"159","Valladolid",24.4,9,21.2,0.684,2016
"160","Zaragoza",24.9,2,18.95,0.451,2016
"161","Oviedo",27.1,4,17.75,0.592,2016
"162","Girona",24.9,5,16.2,0.506,2016
"163","Mallorca",25,11,15.7,0.436,2016
"164","Gimnastic",25.5,17,14.75,0.369,2016
"165","Cordoba",25,8,14.65,0.396,2016
"166","Elche",25.6,6,13.7,0.403,2016
"167","Alcorcon",24.2,9,13.25,0.358,2016
"168","Tenerife",24.9,9,13.2,0.388,2016
"169","Numancia",25.3,6,12.2,0.381,2016
"170","Huesca",26.3,9,11.05,0.356,2016
"171","Mirandes",25.8,12,10.75,0.384,2016
"172","Lugo",24.1,8,10.3,0.312,2016
"173","Reus Deportiu",26.8,7,8.8,0.326,2016
"174","Cadiz",26.6,5,8.8,0.267,2016
"175","UCAM Murcia",26.9,7,6.75,0.205,2016
"176","Sevilla B",19.7,11,1.8,0.51,2016
"177","Sp Gijon",24.5,7,35.8,1.08,2017
"178","Granada",25.4,14,30.85,0.995,2017
"179","Osasuna",26.1,4,27.5,0.982,2017
"180","Vallecano",26.5,13,25.48,0.822,2017
"181","Valladolid",24.4,8,21.78,0.64,2017
"182","Barcelona B",19.7,7,19.2,0.505,2017
"183","Cadiz",25.3,9,15.25,0.436,2017
"184","Cordoba",24.6,9,15.25,0.372,2017
"185","Sevilla B",19.7,8,14.95,0.404,2017
"186","Huesca",25.7,8,14.8,0.51,2017
"187","Oviedo",25.2,2,14.7,0.445,2017
"188","Gimnastic",24.3,16,14.45,0.361,2017
"189","Almeria",24.6,15,14.05,0.413,2017
"190","Albacete",26,11,13.5,0.355,2017
"191","Lugo",24.3,7,13.45,0.408,2017
"192","Leonesa",25.6,9,12.55,0.433,2017
"193","Alcorcon",27.1,8,12.48,0.378,2017
"194","Lorca FC",25.4,2,12.25,0.314,2017
"195","Tenerife",25.7,7,11.55,0.373,2017
"196","Numancia",25.3,5,11.4,0.393,2017
"197","Zaragoza",24.2,9,11.35,0.391,2017
"198","Reus Deportiu",26,7,11,0.393,2017
"199","Malaga",25.4,19,40.6,1.04,2018
"200","Las Palmas",26.5,11,38.55,0.964,2018
"201","La Coruna",26.6,11,36.1,1.09,2018
"202","Sp Gijon",24.1,1,27.85,0.774,2018
"203","Cadiz",25.7,15,26.15,0.654,2018
"204","Osasuna",24.8,12,20.5,0.641,2018
"205","Granada",25.3,7,20,0.667,2018
"206","Gimnastic",24.6,18,18.75,0.383,2018
"207","Tenerife",25.6,1,17.15,0.52,2018
"208","Zaragoza",25,1,16.13,0.461,2018
"209","Mallorca",24.7,16,15.95,0.42,2018
"210","Numancia",24.8,6,15.5,0.419,2018
"211","Lugo",24.3,1,15.35,0.374,2018
"212","Oviedo",25.6,8,15.3,0.494,2018
"213","Extremadura UD",26.2,15,15.25,0.318,2018
"214","Cordoba",24.6,9,14.65,0.357,2018
"215","Almeria",24.5,1,14.6,0.395,2018
"216","Albacete",24.6,17,14.53,0.382,2018
"217","Elche",26.1,8,14.25,0.356,2018
"218","Rayo Majadahonda",25.2,6,13.9,0.421,2018
"219","Alcorcon",25.9,6,11.15,0.293,2018
"220","Reus Deportiu",24.2,6,8.05,0.298,2018
"221","Girona",26.2,2,63.75,2.28,2019
"222","Vallecano",27.2,11,38.3,1.82,2019
"223","Malaga",26.8,15,31.15,1.25,2019
"224","Huesca",26.5,5,30.35,1.26,2019
"225","La Coruna",28.1,8,25.9,1.23,2019
"226","Zaragoza",26.7,9,24.95,1.08,2019
"227","Sp Gijon",27.4,5,23.05,1.05,2019
"228","Las Palmas",27.3,7,23,0.852,2019
"229","Almeria",25.7,14,20.68,0.738,2019
"230","Cadiz",28.1,8,17.55,0.702,2019
"231","Tenerife",26.4,9,16.05,0.669,2019
"232","Albacete",26.7,2,15.6,0.65,2019
"233","Oviedo",27.9,5,13.75,0.625,2019
"234","Alcorcon",28.4,7,10.68,0.445,2019
"235","Numancia",26.5,4,10.45,0.418,2019
"236","Extremadura UD",27.7,5,9.65,0.371,2019
"237","Lugo",26.9,3,9.5,0.452,2019
"238","Elche",27.6,3,9.25,0.487,2019
"239","Santander",28.5,6,8.9,0.371,2019
"240","Ponferradina",26.7,8,8,0.308,2019
"241","Fuenlabrada",27,8,6.85,0.245,2019
"242","Mirandes",25.9,7,6.2,0.295,2019
