"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"85","Tottenham Hotspur ","Tottenham Hotspur","36","36","23,4","21","296,00 Mill. €","8,22 Mill. €",2013
"86","Liverpool FC ","Liverpool FC","31","31","23,8","22","272,50 Mill. €","8,79 Mill. €",2013
"87","Everton FC ","Everton FC","30","30","25,9","22","217,50 Mill. €","7,25 Mill. €",2013
"88","Newcastle United ","Newcastle United","33","33","24,4","26","188,85 Mill. €","5,72 Mill. €",2013
"89","Sunderland AFC ","Sunderland AFC","37","37","24,9","28","151,25 Mill. €","4,09 Mill. €",2013
"90","Fulham FC ","Fulham FC","44","44","25,4","33","148,35 Mill. €","3,37 Mill. €",2013
"91","West Ham United ","West Ham United","42","42","25,3","22","128,25 Mill. €","3,05 Mill. €",2013
"92","Stoke City ","Stoke City","29","29","26,1","20","126,00 Mill. €","4,34 Mill. €",2013
"93","Swansea City ","Swansea City","31","31","25,5","27","118,58 Mill. €","3,83 Mill. €",2013
"94","Aston Villa ","Aston Villa","34","34","24,0","20","116,30 Mill. €","3,42 Mill. €",2013
"95","Southampton FC ","Southampton FC","31","31","23,9","16","102,50 Mill. €","3,31 Mill. €",2013
"96","Norwich City ","Norwich City","29","29","26,2","17","95,75 Mill. €","3,30 Mill. €",2013
"97","Cardiff City  ","Cardiff City","39","39","24,6","36","92,35 Mill. €","2,37 Mill. €",2013
"98","West Bromwich Albion ","West Bromwich Albion","30","30","26,6","21","91,95 Mill. €","3,07 Mill. €",2013
"99","Hull City  ","Hull City","33","33","26,4","22","69,90 Mill. €","2,12 Mill. €",2013
"100","Crystal Palace  ","Crystal Palace","41","41","26,2","24","64,25 Mill. €","1,57 Mill. €",2013
"101","Chelsea FC ","Chelsea FC","38","38","23,9","28","526,10 Mill. €","13,84 Mill. €",2014
"102","Manchester United ","Manchester United","43","43","23,9","25","522,40 Mill. €","12,15 Mill. €",2014
"103","Manchester City ","Manchester City","36","36","25,4","29","478,00 Mill. €","13,28 Mill. €",2014
"104","Arsenal FC ","Arsenal FC","42","42","23,0","29","404,35 Mill. €","9,63 Mill. €",2014
"105","Tottenham Hotspur ","Tottenham Hotspur","42","42","23,7","25","298,25 Mill. €","7,10 Mill. €",2014
"106","Liverpool FC ","Liverpool FC","35","35","23,4","21","285,00 Mill. €","8,14 Mill. €",2014
"107","Everton FC ","Everton FC","40","40","24,3","19","177,50 Mill. €","4,44 Mill. €",2014
"108","Southampton FC ","Southampton FC","37","37","23,5","20","150,40 Mill. €","4,06 Mill. €",2014
"109","Newcastle United ","Newcastle United","42","42","22,9","26","139,85 Mill. €","3,33 Mill. €",2014
"110","Stoke City ","Stoke City","30","30","26,4","23","128,85 Mill. €","4,30 Mill. €",2014
"111","Aston Villa ","Aston Villa","38","38","24,3","20","127,00 Mill. €","3,34 Mill. €",2014
"112","West Ham United ","West Ham United","36","36","24,8","21","123,00 Mill. €","3,42 Mill. €",2014
"113","Hull City ","Hull City","35","35","26,1","24","122,25 Mill. €","3,49 Mill. €",2014
"114","Sunderland AFC ","Sunderland AFC","34","34","24,8","20","115,25 Mill. €","3,39 Mill. €",2014
"115","Queens Park Rangers  ","Queens Park Rangers","41","41","25,1","24","115,05 Mill. €","2,81 Mill. €",2014
"116","Swansea City ","Swansea City","36","36","24,3","30","107,70 Mill. €","2,99 Mill. €",2014
"117","West Bromwich Albion ","West Bromwich Albion","34","34","25,5","22","100,60 Mill. €","2,96 Mill. €",2014
"118","Crystal Palace ","Crystal Palace","42","42","26,0","25","89,30 Mill. €","2,13 Mill. €",2014
"119","Leicester City  ","Leicester City","37","37","25,9","18","55,85 Mill. €","1,51 Mill. €",2014
"120","Burnley FC  ","Burnley FC","30","30","25,5","13","36,75 Mill. €","1,23 Mill. €",2014
"121","Chelsea FC ","Chelsea FC","40","40","23,7","30","579,80 Mill. €","14,50 Mill. €",2015
"122","Manchester City ","Manchester City","38","38","24,4","27","452,75 Mill. €","11,91 Mill. €",2015
"123","Arsenal FC ","Arsenal FC","41","41","23,7","29","408,60 Mill. €","9,97 Mill. €",2015
"124","Manchester United ","Manchester United","44","44","22,5","23","374,15 Mill. €","8,50 Mill. €",2015
"125","Liverpool FC ","Liverpool FC","44","44","22,5","25","325,00 Mill. €","7,39 Mill. €",2015
"126","Tottenham Hotspur ","Tottenham Hotspur","31","31","22,7","16","253,75 Mill. €","8,19 Mill. €",2015
"127","Everton FC ","Everton FC","39","39","24,7","19","204,13 Mill. €","5,23 Mill. €",2015
"128","Newcastle United ","Newcastle United","42","42","23,6","27","200,65 Mill. €","4,78 Mill. €",2015
"129","Southampton FC ","Southampton FC","35","35","24,1","19","187,50 Mill. €","5,36 Mill. €",2015
"130","West Ham United ","West Ham United","50","50","23,2","26","185,20 Mill. €","3,70 Mill. €",2015
"131","Swansea City ","Swansea City","36","36","24,8","29","138,20 Mill. €","3,84 Mill. €",2015
"132","Sunderland AFC ","Sunderland AFC","42","42","25,5","27","128,25 Mill. €","3,05 Mill. €",2015
"133","Stoke City ","Stoke City","31","31","26,3","24","127,25 Mill. €","4,10 Mill. €",2015
"134","Crystal Palace ","Crystal Palace","38","38","25,6","19","121,00 Mill. €","3,18 Mill. €",2015
"135","West Bromwich Albion ","West Bromwich Albion","35","35","25,4","22","117,00 Mill. €","3,34 Mill. €",2015
"136","Aston Villa ","Aston Villa","44","44","23,5","23","112,30 Mill. €","2,55 Mill. €",2015
"137","Watford FC  ","Watford FC","39","39","26,4","34","110,13 Mill. €","2,82 Mill. €",2015
"138","Norwich City  ","Norwich City","41","41","25,6","22","103,75 Mill. €","2,53 Mill. €",2015
"139","Leicester City ","Leicester City","35","35","25,9","19","91,25 Mill. €","2,61 Mill. €",2015
"140","AFC Bournemouth  ","AFC Bournemouth","49","49","24,1","22","68,03 Mill. €","1,39 Mill. €",2015
"141","Manchester City ","Manchester City","44","44","24,7","36","621,40 Mill. €","14,12 Mill. €",2016
"142","Chelsea FC ","Chelsea FC","49","49","23,8","41","603,30 Mill. €","12,31 Mill. €",2016
"143","Manchester United ","Manchester United","42","42","23,5","24","533,25 Mill. €","12,70 Mill. €",2016
"144","Arsenal FC ","Arsenal FC","42","42","23,7","26","522,75 Mill. €","12,45 Mill. €",2016
"145","Liverpool FC ","Liverpool FC","38","38","23,4","23","394,15 Mill. €","10,37 Mill. €",2016
"146","Tottenham Hotspur ","Tottenham Hotspur","38","38","22,7","20","385,50 Mill. €","10,14 Mill. €",2016
"147","Everton FC ","Everton FC","39","39","24,9","22","284,35 Mill. €","7,29 Mill. €",2016
"148","West Ham United ","West Ham United","44","44","23,7","27","240,78 Mill. €","5,47 Mill. €",2016
"149","Crystal Palace ","Crystal Palace","45","45","25,1","25","215,70 Mill. €","4,79 Mill. €",2016
"150","Southampton FC ","Southampton FC","36","36","24,4","19","214,25 Mill. €","5,95 Mill. €",2016
"151","Stoke City ","Stoke City","34","34","26,1","27","193,25 Mill. €","5,68 Mill. €",2016
"152","Watford FC ","Watford FC","46","46","25,8","36","189,35 Mill. €","4,12 Mill. €",2016
"153","Leicester City ","Leicester City","31","31","25,6","21","175,00 Mill. €","5,65 Mill. €",2016
"154","Swansea City ","Swansea City","37","37","25,9","34","137,10 Mill. €","3,71 Mill. €",2016
"155","Hull City  ","Hull City","42","42","25,0","22","132,95 Mill. €","3,17 Mill. €",2016
"156","Middlesbrough FC  ","Middlesbrough FC","35","35","26,3","21","121,75 Mill. €","3,48 Mill. €",2016
"157","West Bromwich Albion ","West Bromwich Albion","30","30","26,3","17","115,10 Mill. €","3,84 Mill. €",2016
"158","Sunderland AFC ","Sunderland AFC","42","42","24,3","26","112,50 Mill. €","2,68 Mill. €",2016
"159","AFC Bournemouth ","AFC Bournemouth","41","41","23,4","16","103,50 Mill. €","2,52 Mill. €",2016
"160","Burnley FC  ","Burnley FC","36","36","25,7","14","81,80 Mill. €","2,27 Mill. €",2016
"161","Chelsea FC ","Chelsea FC","46","46","23,7","33","649,65 Mill. €","14,12 Mill. €",2017
"162","Manchester United ","Manchester United","35","35","25,1","22","645,10 Mill. €","18,43 Mill. €",2017
"163","Arsenal FC ","Arsenal FC","45","45","23,8","27","633,90 Mill. €","14,09 Mill. €",2017
"164","Manchester City ","Manchester City","32","32","24,1","21","616,35 Mill. €","19,26 Mill. €",2017
"165","Tottenham Hotspur ","Tottenham Hotspur","34","34","23,8","22","535,35 Mill. €","15,75 Mill. €",2017
"166","Liverpool FC ","Liverpool FC","35","35","24,0","21","495,00 Mill. €","14,14 Mill. €",2017
"167","Everton FC ","Everton FC","48","48","23,9","27","346,75 Mill. €","7,22 Mill. €",2017
"168","West Ham United ","West Ham United","41","41","24,3","23","264,85 Mill. €","6,46 Mill. €",2017
"169","Leicester City ","Leicester City","34","34","25,5","21","252,10 Mill. €","7,41 Mill. €",2017
"170","Southampton FC ","Southampton FC","29","29","24,9","16","247,50 Mill. €","8,53 Mill. €",2017
"171","Crystal Palace ","Crystal Palace","41","41","24,8","22","194,43 Mill. €","4,74 Mill. €",2017
"172","Stoke City ","Stoke City","35","35","25,2","27","177,80 Mill. €","5,08 Mill. €",2017
"173","Swansea City ","Swansea City","36","36","25,3","32","171,34 Mill. €","4,76 Mill. €",2017
"174","Watford FC ","Watford FC","37","37","25,9","28","167,30 Mill. €","4,52 Mill. €",2017
"175","Newcastle United  ","Newcastle United","37","37","24,4","25","167,28 Mill. €","4,52 Mill. €",2017
"176","West Bromwich Albion ","West Bromwich Albion","33","33","25,5","17","165,50 Mill. €","5,02 Mill. €",2017
"177","AFC Bournemouth ","AFC Bournemouth","35","35","25,0","13","116,10 Mill. €","3,32 Mill. €",2017
"178","Brighton & Hove Albion  ","Brighton & Hove Albion","39","39","25,8","26","106,75 Mill. €","2,74 Mill. €",2017
"179","Burnley FC ","Burnley FC","30","30","26,8","16","96,85 Mill. €","3,23 Mill. €",2017
"180","Huddersfield Town  ","Huddersfield Town","35","35","24,6","18","64,40 Mill. €","1,84 Mill. €",2017
"181","Manchester City ","Manchester City","46","46","23,3","33","1,05 Bill. €","22,92 Mill. €",2018
"182","Chelsea FC ","Chelsea FC","54","54","24,6","40","1,05 Bill. €","19,38 Mill. €",2018
"183","Liverpool FC ","Liverpool FC","39","39","23,8","25","900,10 Mill. €","23,08 Mill. €",2018
"184","Manchester United ","Manchester United","35","35","24,6","22","833,00 Mill. €","23,80 Mill. €",2018
"185","Tottenham Hotspur ","Tottenham Hotspur","34","34","24,5","20","819,60 Mill. €","24,11 Mill. €",2018
"186","Arsenal FC ","Arsenal FC","42","42","23,9","28","593,30 Mill. €","14,13 Mill. €",2018
"187","Everton FC ","Everton FC","40","40","25,0","25","429,50 Mill. €","10,74 Mill. €",2018
"188","Leicester City ","Leicester City","38","38","25,4","27","329,00 Mill. €","8,66 Mill. €",2018
"189","West Ham United ","West Ham United","37","37","25,7","22","309,70 Mill. €","8,37 Mill. €",2018
"190","Southampton FC ","Southampton FC","40","40","23,9","18","270,55 Mill. €","6,76 Mill. €",2018
"191","Crystal Palace ","Crystal Palace","36","36","25,4","20","262,38 Mill. €","7,29 Mill. €",2018
"192","Newcastle United ","Newcastle United","37","37","25,0","22","200,00 Mill. €","5,41 Mill. €",2018
"193","Burnley FC ","Burnley FC","33","33","27,1","14","185,75 Mill. €","5,63 Mill. €",2018
"194","AFC Bournemouth ","AFC Bournemouth","37","37","24,7","16","172,80 Mill. €","4,67 Mill. €",2018
"195","Brighton & Hove Albion ","Brighton & Hove Albion","41","41","24,8","29","172,65 Mill. €","4,21 Mill. €",2018
"196","Watford FC ","Watford FC","39","39","25,2","31","170,40 Mill. €","4,37 Mill. €",2018
"197","Fulham FC  ","Fulham FC","25","25","24,5","18","167,50 Mill. €","6,70 Mill. €",2018
"198","Wolverhampton Wanderers  ","Wolverhampton Wanderers","40","40","23,1","26","160,43 Mill. €","4,01 Mill. €",2018
"199","Huddersfield Town ","Huddersfield Town","33","33","24,3","21","113,15 Mill. €","3,43 Mill. €",2018
