"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"133","Cagliari Calcio  ","Cagliari Calcio","44","44","22,2","8","46,90 Mill. €","1,07 Mill. €",2015
"134","Delfino Pescara 1936 ","Delfino Pescara 1936","56","56","22,7","14","28,08 Mill. €","501 Th. €",2015
"135","FC Bari 1908 ","FC Bari 1908","43","43","24,8","12","27,68 Mill. €","644 Th. €",2015
"136","Spezia Calcio ","Spezia Calcio","37","37","24,3","21","23,93 Mill. €","647 Th. €",2015
"137","AC Cesena  ","AC Cesena","39","39","22,7","6","22,20 Mill. €","569 Th. €",2015
"138","AS Livorno ","AS Livorno","50","50","21,9","9","22,20 Mill. €","444 Th. €",2015
"139","US Latina Calcio ","US Latina Calcio","47","47","23,9","13","21,10 Mill. €","449 Th. €",2015
"140","AC Perugia Calcio ","AC Perugia Calcio","47","47","22,4","18","21,00 Mill. €","447 Th. €",2015
"141","Vicenza Calcio ","Vicenza Calcio","57","57","22,5","11","20,50 Mill. €","360 Th. €",2015
"142","Calcio Como  ","Calcio Como","47","47","23,0","12","19,78 Mill. €","421 Th. €",2015
"143","Novara Calcio 1908  ","Novara Calcio 1908","47","47","23,5","11","18,45 Mill. €","393 Th. €",2015
"144","US Avellino 1912 ","US Avellino 1912","39","39","24,5","10","17,85 Mill. €","458 Th. €",2015
"145","SS Virtus Lanciano ","SS Virtus Lanciano","42","42","23,8","7","15,20 Mill. €","362 Th. €",2015
"146","Ascoli Picchio  ","Ascoli Picchio","45","45","23,1","8","15,13 Mill. €","336 Th. €",2015
"147","US Salernitana 1919  ","US Salernitana 1919","52","52","24,4","13","14,80 Mill. €","285 Th. €",2015
"148","Ternana Calcio ","Ternana Calcio","42","42","22,4","9","14,30 Mill. €","340 Th. €",2015
"149","Modena FC ","Modena FC","39","39","24,1","11","13,70 Mill. €","351 Th. €",2015
"150","FC Pro Vercelli 1892 ","FC Pro Vercelli 1892","45","45","22,6","6","13,38 Mill. €","297 Th. €",2015
"151","Trapani Calcio ","Trapani Calcio","44","44","23,8","8","10,43 Mill. €","237 Th. €",2015
"152","Virtus Entella ","Virtus Entella","44","44","23,4","7","10,33 Mill. €","235 Th. €",2015
"153","FC Crotone ","FC Crotone","38","38","23,2","9","9,98 Mill. €","263 Th. €",2015
"154","Brescia Calcio ","Brescia Calcio","43","43","22,2","9","7,68 Mill. €","178 Th. €",2015
"155","Hellas Verona  ","Hellas Verona","51","51","23,8","13","39,28 Mill. €","770 Th. €",2016
"156","FC Bari 1908 ","FC Bari 1908","58","58","23,6","16","31,18 Mill. €","538 Th. €",2016
"157","Carpi FC 1909  ","Carpi FC 1909","51","51","22,5","13","29,80 Mill. €","584 Th. €",2016
"158","Frosinone Calcio  ","Frosinone Calcio","42","42","23,5","9","27,78 Mill. €","661 Th. €",2016
"159","Spezia Calcio ","Spezia Calcio","51","51","22,6","17","23,70 Mill. €","465 Th. €",2016
"160","Novara Calcio 1908 ","Novara Calcio 1908","48","48","22,9","15","23,05 Mill. €","480 Th. €",2016
"161","AC Cesena ","AC Cesena","55","55","22,7","10","21,95 Mill. €","399 Th. €",2016
"162","Ternana Calcio ","Ternana Calcio","51","51","23,1","8","20,55 Mill. €","403 Th. €",2016
"163","Vicenza Calcio ","Vicenza Calcio","49","49","22,7","15","19,60 Mill. €","400 Th. €",2016
"164","Brescia Calcio ","Brescia Calcio","48","48","21,9","8","18,75 Mill. €","391 Th. €",2016
