"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"149","Desportivo Aves  ","Desportivo Aves","30","30","28,4","20","15,48 Mill. €","516 Th. €",2017
"150","Portimonense SC  ","Portimonense SC","34","34","23,6","25","14,48 Mill. €","426 Th. €",2017
"151","CD Tondela ","CD Tondela","34","34","24,5","15","14,48 Mill. €","426 Th. €",2017
"152","CD Feirense ","CD Feirense","31","31","25,5","17","14,28 Mill. €","460 Th. €",2017
"153","SL Benfica ","SL Benfica","39","39","24,0","26","279,65 Mill. €","7,17 Mill. €",2018
"154","FC Porto ","FC Porto","41","41","24,8","29","260,98 Mill. €","6,37 Mill. €",2018
"155","Sporting CP ","Sporting CP","53","53","24,5","34","181,95 Mill. €","3,43 Mill. €",2018
"156","SC Braga ","SC Braga","39","39","24,2","22","77,45 Mill. €","1,99 Mill. €",2018
"157","Vitória Guimaraes SC ","Vitória Guimaraes SC","37","37","23,9","20","39,20 Mill. €","1,06 Mill. €",2018
"158","Portimonense SC ","Portimonense SC","44","44","23,3","34","29,83 Mill. €","678 Th. €",2018
"159","Rio Ave FC ","Rio Ave FC","40","40","23,3","25","27,25 Mill. €","681 Th. €",2018
"160","GD Chaves ","GD Chaves","36","36","25,7","23","25,43 Mill. €","706 Th. €",2018
"161","CS Marítimo ","CS Marítimo","45","45","24,3","33","23,80 Mill. €","529 Th. €",2018
"162","Vitória Setúbal FC ","Vitória Setúbal FC","40","40","25,0","16","18,73 Mill. €","468 Th. €",2018
"163","Belenenses SAD ","Belenenses SAD","40","40","25,0","17","16,85 Mill. €","421 Th. €",2018
"164","Boavista Porto FC ","Boavista Porto FC","35","35","25,9","24","16,50 Mill. €","471 Th. €",2018
"165","Moreirense FC ","Moreirense FC","34","34","24,2","19","16,35 Mill. €","481 Th. €",2018
"166","CD Tondela ","CD Tondela","29","29","25,0","11","15,48 Mill. €","534 Th. €",2018
"167","CD Feirense ","CD Feirense","36","36","25,4","22","15,10 Mill. €","419 Th. €",2018
"168","CD Santa Clara  ","CD Santa Clara","38","38","25,4","21","13,90 Mill. €","366 Th. €",2018
"169","CD Nacional  ","CD Nacional","33","33","24,7","25","12,25 Mill. €","371 Th. €",2018
"170","Desportivo Aves ","Desportivo Aves","42","42","25,2","33","11,48 Mill. €","273 Th. €",2018
"171","SL Benfica ","SL Benfica","29","29","24,8","18","312,70 Mill. €","10,78 Mill. €",2019
"172","FC Porto ","FC Porto","30","30","25,4","19","259,25 Mill. €","8,64 Mill. €",2019
"173","Sporting CP ","Sporting CP","32","32","25,7","22","203,38 Mill. €","6,36 Mill. €",2019
"174","SC Braga ","SC Braga","28","28","26,2","13","93,25 Mill. €","3,33 Mill. €",2019
"175","Vitória Guimaraes SC ","Vitória Guimaraes SC","37","37","24,8","21","49,63 Mill. €","1,34 Mill. €",2019
"176","Portimonense SC ","Portimonense SC","27","27","24,6","21","25,23 Mill. €","934 Th. €",2019
"177","Rio Ave FC ","Rio Ave FC","27","27","25,6","16","19,10 Mill. €","707 Th. €",2019
"178","FC Famalicao  ","FC Famalicao","25","25","22,6","20","18,35 Mill. €","734 Th. €",2019
"179","Boavista Porto FC ","Boavista Porto FC","34","34","26,6","24","17,00 Mill. €","500 Th. €",2019
"180","CD Santa Clara ","CD Santa Clara","28","28","25,9","18","15,63 Mill. €","558 Th. €",2019
"181","CS Marítimo ","CS Marítimo","30","30","25,8","22","15,50 Mill. €","517 Th. €",2019
"182","Vitória Setúbal FC ","Vitória Setúbal FC","31","31","26,3","12","12,93 Mill. €","417 Th. €",2019
"183","Moreirense FC ","Moreirense FC","27","27","26,4","18","12,80 Mill. €","474 Th. €",2019
"184","CD Tondela ","CD Tondela","29","29","24,8","13","12,68 Mill. €","437 Th. €",2019
"185","Belenenses SAD ","Belenenses SAD","32","32","24,6","16","11,55 Mill. €","361 Th. €",2019
"186","Desportivo Aves ","Desportivo Aves","29","29","24,6","22","11,48 Mill. €","396 Th. €",2019
"187","FC Paços de Ferreira  ","FC Paços de Ferreira","31","31","25,5","18","10,33 Mill. €","333 Th. €",2019
"188","Gil Vicente FC ","Gil Vicente FC","29","29","24,2","21","7,55 Mill. €","260 Th. €",2019
