"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","Olympique Lyon ","Olympique Lyon","29","29","23,1","13","210,30 Mill. €","7,25 Mill. €",2010
"2","Olympique Marseille ","Olympique Marseille","34","34","25,1","20","179,95 Mill. €","5,29 Mill. €",2010
"3","FC Girondins Bordeaux ","FC Girondins Bordeaux","35","35","23,8","17","146,40 Mill. €","4,18 Mill. €",2010
"4","Paris Saint-Germain ","Paris Saint-Germain","29","29","25,4","13","106,75 Mill. €","3,68 Mill. €",2010
"5","LOSC Lille ","LOSC Lille","28","28","24,2","16","101,25 Mill. €","3,62 Mill. €",2010
"6","AS Monaco ","AS Monaco","38","38","23,6","38","94,25 Mill. €","2,48 Mill. €",2010
"7","Stade Rennais FC ","Stade Rennais FC","33","33","22,7","20","89,00 Mill. €","2,70 Mill. €",2010
"8","FC Toulouse ","FC Toulouse","32","32","22,9","16","80,68 Mill. €","2,52 Mill. €",2010
"9","AS Saint-Étienne ","AS Saint-Étienne","32","32","23,8","16","71,85 Mill. €","2,25 Mill. €",2010
"10","OGC Nice ","OGC Nice","36","36","24,4","21","64,00 Mill. €","1,78 Mill. €",2010
"11","AJ Auxerre ","AJ Auxerre","40","40","23,3","21","62,15 Mill. €","1,55 Mill. €",2010
"12","AS Nancy-Lorraine ","AS Nancy-Lorraine","30","30","25,2","16","58,70 Mill. €","1,96 Mill. €",2010
"13","Valenciennes FC  ","Valenciennes FC ","37","37","24,1","18","53,53 Mill. €","1,45 Mill. €",2010
"14","FC Lorient ","FC Lorient","31","31","24,3","12","49,85 Mill. €","1,61 Mill. €",2010
"15","HSC Montpellier ","HSC Montpellier","32","32","24,2","12","47,98 Mill. €","1,50 Mill. €",2010
"16","RC Lens ","RC Lens","39","39","23,7","20","47,98 Mill. €","1,23 Mill. €",2010
"17","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","30","30","23,1","14","44,25 Mill. €","1,48 Mill. €",2010
"18","Athlétic Club Arlésien  ","Athlétic Club Arlésien","37","37","26,1","16","28,20 Mill. €","762 Th. €",2010
"19","Stade Brest 29 ","Stade Brest 29","31","31","24,8","17","24,45 Mill. €","789 Th. €",2010
"20","SM Caen  ","SM Caen","30","30","23,8","10","24,10 Mill. €","803 Th. €",2010
"21","Olympique Lyon ","Olympique Lyon","29","29","23,1","13","210,30 Mill. €","7,25 Mill. €",2010
"22","Olympique Marseille ","Olympique Marseille","34","34","25,1","20","179,95 Mill. €","5,29 Mill. €",2010
"23","FC Girondins Bordeaux ","FC Girondins Bordeaux","35","35","23,8","17","146,40 Mill. €","4,18 Mill. €",2010
"24","Paris Saint-Germain ","Paris Saint-Germain","29","29","25,4","13","106,75 Mill. €","3,68 Mill. €",2010
"25","LOSC Lille ","LOSC Lille","28","28","24,2","16","101,25 Mill. €","3,62 Mill. €",2010
"26","AS Monaco ","AS Monaco","38","38","23,6","38","94,25 Mill. €","2,48 Mill. €",2010
"27","Stade Rennais FC ","Stade Rennais FC","33","33","22,7","20","89,00 Mill. €","2,70 Mill. €",2010
"28","FC Toulouse ","FC Toulouse","32","32","22,9","16","80,68 Mill. €","2,52 Mill. €",2010
"29","AS Saint-Étienne ","AS Saint-Étienne","32","32","23,8","16","71,85 Mill. €","2,25 Mill. €",2010
"30","OGC Nice ","OGC Nice","36","36","24,4","21","64,00 Mill. €","1,78 Mill. €",2010
"31","AJ Auxerre ","AJ Auxerre","40","40","23,3","21","62,15 Mill. €","1,55 Mill. €",2010
"32","AS Nancy-Lorraine ","AS Nancy-Lorraine","30","30","25,2","16","58,70 Mill. €","1,96 Mill. €",2010
"33","Valenciennes FC  ","Valenciennes FC ","37","37","24,1","18","53,53 Mill. €","1,45 Mill. €",2010
"34","FC Lorient ","FC Lorient","31","31","24,3","12","49,85 Mill. €","1,61 Mill. €",2010
"35","HSC Montpellier ","HSC Montpellier","32","32","24,2","12","47,98 Mill. €","1,50 Mill. €",2010
"36","RC Lens ","RC Lens","39","39","23,7","20","47,98 Mill. €","1,23 Mill. €",2010
"37","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","30","30","23,1","14","44,25 Mill. €","1,48 Mill. €",2010
"38","Athlétic Club Arlésien  ","Athlétic Club Arlésien","37","37","26,1","16","28,20 Mill. €","762 Th. €",2010
"39","Stade Brest 29 ","Stade Brest 29","31","31","24,8","17","24,45 Mill. €","789 Th. €",2010
"40","SM Caen  ","SM Caen","30","30","23,8","10","24,10 Mill. €","803 Th. €",2010
"41","Paris Saint-Germain ","Paris Saint-Germain","35","35","25,5","18","223,10 Mill. €","6,37 Mill. €",2011
"42","Olympique Lyon ","Olympique Lyon","39","39","22,6","19","171,00 Mill. €","4,38 Mill. €",2011
"43","Olympique Marseille ","Olympique Marseille","31","31","25,1","16","160,80 Mill. €","5,19 Mill. €",2011
"44","LOSC Lille ","LOSC Lille","29","29","25,4","17","132,95 Mill. €","4,58 Mill. €",2011
"45","Stade Rennais FC ","Stade Rennais FC","31","31","22,9","24","91,45 Mill. €","2,95 Mill. €",2011
"46","FC Girondins Bordeaux ","FC Girondins Bordeaux","30","30","24,2","17","88,90 Mill. €","2,96 Mill. €",2011
"47","AS Saint-Étienne ","AS Saint-Étienne","35","35","24,4","14","76,75 Mill. €","2,19 Mill. €",2011
"48","FC Toulouse ","FC Toulouse","33","33","22,0","14","74,25 Mill. €","2,25 Mill. €",2011
"49","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","34","34","22,6","19","56,05 Mill. €","1,65 Mill. €",2011
"50","AS Nancy-Lorraine ","AS Nancy-Lorraine","37","37","24,4","22","54,45 Mill. €","1,47 Mill. €",2011
"51","OGC Nice ","OGC Nice","33","33","24,1","17","50,80 Mill. €","1,54 Mill. €",2011
"52","FC Lorient ","FC Lorient","35","35","24,1","18","48,85 Mill. €","1,40 Mill. €",2011
"53","HSC Montpellier ","HSC Montpellier","30","30","24,7","14","48,70 Mill. €","1,62 Mill. €",2011
"54","Valenciennes FC  ","Valenciennes FC ","35","35","23,6","16","47,25 Mill. €","1,35 Mill. €",2011
"55","AJ Auxerre ","AJ Auxerre","41","41","23,1","23","46,85 Mill. €","1,14 Mill. €",2011
"56","Stade Brest 29 ","Stade Brest 29","33","33","25,9","24","40,85 Mill. €","1,24 Mill. €",2011
"57","FC Évian Thonon Gaillard  ","FC Évian Thonon Gaillard","32","32","26,2","16","34,95 Mill. €","1,09 Mill. €",2011
"58","AC Ajaccio  ","AC Ajaccio","32","32","25,4","14","27,05 Mill. €","845 Th. €",2011
"59","SM Caen ","SM Caen","28","28","24,5","10","26,75 Mill. €","955 Th. €",2011
"60","FCO Dijon  ","FCO Dijon","33","33","24,1","13","24,30 Mill. €","736 Th. €",2011
"61","Paris Saint-Germain ","Paris Saint-Germain","33","33","26,2","15","332,85 Mill. €","10,09 Mill. €",2012
"62","Olympique Lyon ","Olympique Lyon","42","42","23,8","20","155,90 Mill. €","3,71 Mill. €",2012
"63","Olympique Marseille ","Olympique Marseille","36","36","24,1","21","146,95 Mill. €","4,08 Mill. €",2012
"64","LOSC Lille ","LOSC Lille","27","27","25,5","12","105,20 Mill. €","3,90 Mill. €",2012
"65","Stade Rennais FC ","Stade Rennais FC","32","32","23,3","20","98,60 Mill. €","3,08 Mill. €",2012
"66","HSC Montpellier ","HSC Montpellier","32","32","24,9","14","83,40 Mill. €","2,61 Mill. €",2012
"67","AS Saint-Étienne ","AS Saint-Étienne","30","30","24,2","13","82,90 Mill. €","2,76 Mill. €",2012
"68","FC Girondins Bordeaux ","FC Girondins Bordeaux","30","30","25,1","17","78,78 Mill. €","2,63 Mill. €",2012
"69","FC Toulouse ","FC Toulouse","28","28","23,1","16","73,55 Mill. €","2,63 Mill. €",2012
"70","FC Lorient ","FC Lorient","34","34","24,9","16","57,50 Mill. €","1,69 Mill. €",2012
"71","Valenciennes FC  ","Valenciennes FC ","31","31","24,8","16","48,15 Mill. €","1,55 Mill. €",2012
"72","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","33","33","23,6","22","48,10 Mill. €","1,46 Mill. €",2012
"73","OGC Nice ","OGC Nice","36","36","22,7","16","41,95 Mill. €","1,17 Mill. €",2012
"74","FC Évian Thonon Gaillard ","FC Évian Thonon Gaillard","32","32","26,1","19","39,70 Mill. €","1,24 Mill. €",2012
